CANAL;NR_IDENTIFICACAO;CLASSIFICACAO_CANAL;TIPO_CONTEUDO_CANAL;OFERTA_CLIENTE;DATA_INICIO_OFERTA;DENSIDADE_CANAL;NOME_PROGRAMADORA;CNPJ_PROGRAMADORA;CLASSIFICACAO_PROGRAMADORA;PAIS_PROGRAMADORA
AGRO CANAL;44418.30031;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
BAND RS;44418.30003;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
BOA VONTADE TV;44418.30009;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
CANAL AMAZON SAT;16959.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;03/05/2004;PADRÃO;AMAZONIA CABO LTDA;02.311.604/0001-84;;BRASIL
CANAL CAPIBARIBE;41339.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;21/11/2001;PADRÃO;ASSOCIAÇÃO DOS CONSTITUINTES E USUÁRIOS DO CANAL COMUNITÁRIO DO GRANDE RECIFE- CANAL CAPIBARIBE;05.204.826/0001-96;;BRASIL
CANAL COMUNITÁRIO - TV SETE LAGOAS - CANAL 9;32247.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;05/12/2007;PADRÃO;ASSOCIAÇÃO SETELAGOANA DE CULTURA E COMUNICAÇÃO SOCIAL;09.022.292/0001-38;;BRASIL
CANAL COMUNITÁRIO DE NOVA ODESSA;52079.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;01/10/2022;PADRÃO;INSTITUTO DE COMUNICAÇÃO INTEGRADO DE NOVA ODESSA - ICINO;46.264.074/0001-36;;BRASIL
CANAL COMUNITÁRIO DE SUZANO;41631.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;29/09/2017;PADRÃO;INSTITUTO DE MEMÓRIA AUDIOVISUAL DE MOGI DAS CRUZES, SUZANO, POÁ E ALTO TIETÊ - IMAM;27.438.143/0001-36;;BRASIL
CANAL PLURAL;29164.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;23/01/2017;PADRÃO;ASSOCIAÇÃO CELEBREIROS;03.159.024/0001-86;;BRASIL
CANAL SAUDE;44418.30006;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
CANAL UNIVERSITÁRIO DO RIO DE JANEIRO - UTV;28617.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;31/08/1999;PADRÃO;ASSOCIAÇÃO DE TELEVISÃO DAS UNIVERSIDADES DO RIO DE JANEIRO - UTV;02.833.278/0001-75;;BRASIL
CANALDO BOI;44418.30013;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
COMBRASIL TV;36079.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;12/12/2018;PADRÃO;INSTITUTO ABCCOM;20.800.979/0001-90;;BRASIL
EVANGELIZAR;44418.30011;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
FTVE JUNDIAÍ;36005.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;01/04/2017;PADRÃO;FUNDAÇÃO TELEVISÃO EDUCATIVA DE JUNDIAÍ;02.150.976/0001-76;;BRASIL
FUTURA;44418.30010;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
NSC TV (GLOBO);44418.30025;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
PIXTV;44418.30007;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
RBSTV (GLOBO);44418.30002;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
RECORD NEWS;44418.30012;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
RECORD RS (RECORD TV);44418.30004;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
REDE SUPER;44418.30027;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
REDE VIDA;44418.30015;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
RIT TV;20462.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;01/01/1987;PADRÃO;TELEVISAO CIDADE MODELO LTDA;03.862.216/0001-54;;BRASIL
SBT RS (SBT);44418.30001;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
SCC TV (SBT);44418.30024;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
SESCTV;44418.30014;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
SUMMER TV;37415.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;09/09/2016;PADRÃO;ASSOCIAÇÃO DOS USUÁRIOS DO CANAL COMUNITÁRIO DE BERTIOGA - SUMMER TV;24.592.810/0001-42;;BRASIL
TV ALERGS;44418.30021;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
TV ALPHA;57207.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;03/11/2009;PADRÃO;ASSOCIAÇÃO DE USUÁRIOS DO CANAL COMUNITÁRIO DE BOTUCATU;11.328.878/0001-77;;BRASIL
TV APARECIDA;44418.30019;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
TV BANQUETA;41773.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;02/06/2014;PADRÃO;ASSOCIAÇÃO DAS ENTIDADES USUÁRIAS DE CANAL COMUNITÁRIO DE NOVA LIMA - MG -;18.727.037/0001-81;;BRASIL
TV BRASIL;44418.30017;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
TV BRASIL 2;44418.30022;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
TV CANELA;52582.30004;Canal de programação comum;Canal de conteúdo em geral;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;06/10/2022;PADRÃO;ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV;33.901.784/0001-88;;BRASIL
TV CARAMURU;24725.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;05/08/2013;PADRÃO;ASSOCIAÇÃO COMUNITÁRIA CARAMURU;11.901.427/0001-87;;BRASIL
TV CAXIAS;40401.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;15/07/2010;PADRÃO;ASSOCIAÇÃO DO CANAL COMUNITÁRIO DE CAXIAS DO SUL;07.075.395/0001-30;;BRASIL
TV CIDADE - CATANDUVA;57227.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;19/01/2024;PADRÃO;CANAL COMUNITARIO DE CATANDUVA - TV JA;10.411.836/0001-32;;BRASIL
TV CIDADE LIVRE, O CANAL COMUNITÁRIO DE BRASÍLIA;42770.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;13/08/1997;PADRÃO;ASSOCIACAO DAS ENTIDADES USUARIAS DE CANAL COMUNITARIO NO DISTRITO FEDERAL - TV COMUNITARIA;03.006.470/0001-50;;BRASIL
TV CIDADE MANAUS;54352.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;21/03/2003;PADRÃO;ASSOCIACAO DE DIFUSAO COMUNITARIA - ADC;05.601.220/0001-94;;BRASIL
TV CIDADE TAUBATÉ;37948.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;22/10/2002;PADRÃO;REDE CIDADE DE COMUNICACAO E CIDADANIA;05.356.414/0001-71;;BRASIL
